iter	Passed	Remaining
706	49004	25923
707	49094	25864
708	49138	25782
709	49202	25709
710	49244	25626
711	49294	25547
712	49342	25467
713	49431	25408
714	49488	25332
715	49635	25303
716	49686	25224
717	49783	25169
718	49882	25114
719	49957	25048
720	50081	25005
721	50153	24937
722	50287	24900
723	50361	24833
724	50411	24753
725	50489	24688
726	50574	24626
727	50643	24556
728	50802	24530
729	50881	24464
730	51013	24424
731	51074	24351
732	51138	24278
733	51275	24240
734	51343	24169
735	51407	24097
736	51488	24032
737	51572	23969
738	51631	23894
739	51764	23853
740	51858	23794
741	51911	23716
742	52046	23676
743	52127	23611
744	52183	23535
745	52260	23468
746	52361	23411
747	52423	23338
748	52489	23266
749	52613	23220
750	52693	23154
751	52765	23085
752	52874	23031
753	52940	22959
754	53005	22887
755	53066	22813
756	53176	22759
757	53277	22702
758	53342	22630
759	53384	22547
760	53462	22481
761	53569	22425
762	53630	22352
763	53688	22276
764	53747	22201
765	53812	22129
766	53954	22088
767	54012	22013
768	54078	21940
769	54180	21883
770	54258	21816
771	54307	21736
772	54434	21689
773	54501	21617
774	54576	21548
775	54671	21488
776	54740	21417
777	54790	21338
778	54840	21260
779	54887	21181
780	54960	21111
781	55052	21049
782	55124	20979
783	55184	20905
784	55293	20849
785	55362	20778
786	55421	20703
787	55480	20629
788	55536	20553
789	55597	20479
790	55709	20424
791	55769	20350
792	55826	20274
793	55877	20197
794	55936	20122
795	55989	20046
796	56041	19969
797	56090	19891
798	56143	19815
799	56207	19742
800	56282	19674
801	56357	19605
802	56409	19529
803	56473	19456
804	56575	19397
805	56656	19330
806	56724	19259
807	56790	19187
808	56904	19132
809	56956	19055
810	57012	18980
811	57065	18904
812	57103	18823
813	57166	18751
814	57223	18676
815	57281	18602
816	57372	18538
817	57429	18464
818	57488	18390
819	57550	18317
820	57611	18244
821	57665	18169
822	57736	18099
823	57841	18040
824	57896	17965
825	57954	17891
826	58018	17819
827	58079	17746
828	58135	17672
829	58194	17598
830	58267	17529
831	58321	17454
832	58377	17380
833	58428	17304
834	58470	17226
835	58526	17151
836	58580	17077
837	58636	17003
838	58699	16931
839	58751	16855
840	58817	16784
841	58880	16713
842	58944	16641
843	59002	16568
844	59048	16491
845	59080	16411
846	59148	16340
847	59211	16269
848	59246	16189
849	59298	16115
850	59374	16047
851	59434	15974
852	59495	15902
853	59551	15829
854	59609	15756
855	59661	15682
856	59713	15607
857	59768	15534
858	59820	15460
859	59884	15388
860	59938	15315
861	59982	15239
862	60031	15164
863	60090	15092
864	60163	15023
865	60231	14953
866	60293	14882
867	60349	14809
868	60409	14737
869	60468	14665
870	60524	14592
871	60579	14519
872	60626	14444
873	60678	14371
874	60730	14297
875	60788	14225
876	60856	14155
877	60906	14081
878	60963	14009
879	61023	13938
880	61095	13869
881	61147	13796
882	61203	13724
883	61272	13654
884	61335	13583
885	61423	13518
886	61497	13450
887	61559	13379
888	61617	13307
889	61667	13234
890	61726	13162
891	61778	13089
892	61839	13018
893	61895	12946
894	61938	12872
895	62005	12802
896	62060	12730
897	62121	12659
898	62179	12588
899	62261	12521
900	62317	12449
901	62432	12389
902	62483	12316
903	62543	12245
904	62692	12192
905	62765	12123
906	62833	12054
907	62885	11981
908	62993	11919
909	63067	11851
910	63122	11779
911	63225	11716
912	63359	11658
913	63466	11596
914	63520	11523
915	63589	11454
916	63655	11384
917	63734	11316
918	63797	11246
919	63887	11180
920	63979	11114
921	64048	11045
922	64114	10975
923	64202	10908
924	64305	10844
925	64350	10771
926	64403	10699
